QuestionKey,QuestionHeader
q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?
q_79a4ba9a4a,Other Comments – giving you the space to provide additional context on why you rated any of the above INSTRUCTOR questions the way you did:
q_79331b98eb,What  specifically  did you like about this course and its curriculum?
q_e6a48d0e84,What aspects of this course would you like to see improved?
q_1ccd0cb219,Other Comments – giving you the space to provide additional context on why you rated any of the above COURSE questions the way you did:
